Name,Latitude,Longitude,Address,Ward,Rating,Google Maps URL
Aloha Coffee - Quận 7,10.7391805,106.69948049999999,"Aloha Coffee - Quận 7, 52 Đ. Số 1, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ1ZYg2cEvdTERpBOgUoIw05M
Bamos Coffee Quận 7 - Cà phê 24h,10.735802699999999,106.70611199999999,"Bamos Coffee Quận 7 - Cà phê 24h, 130 Đ. Số 65, Khu định cư Tân Quy Đông, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,4.2,https://www.google.com/maps/place/?q=place_id:ChIJQ0tQ1covdTERyoCkM0SttZo
Âme Café & Brunch - The Panorama,10.7217913,106.71451119999999,"Âme Café & Brunch - The Panorama, The Panorama, 28 Đường P, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Hưng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJTV9TVm4vdTERa-BUb66Q9hE
Hi Café - Cà phê Quận 7,10.7339197,106.7093788,"Hi Café - Cà phê Quận 7, Đ. Số 2/36 Hưng Gia 1, 5, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,5,https://www.google.com/maps/place/?q=place_id:ChIJlTftGnYvdTERQslD9UnJybg
LỀ CAFÉ,10.741608,106.6950148,"LỀ CAFÉ, 98 Nguyễn Thị Thập, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Hưng,4.2,https://www.google.com/maps/place/?q=place_id:ChIJFXNI5nAvdTERtz6pGXglF58
O’renchi Cafe,10.7358491,106.70285009999999,"O’renchi Cafe, 501 Lê Văn Lương, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJvele0CAvdTER6wsJuWGus5I
Sumatra Coffee & Cigar Lounge Phú Mỹ Hưng - Cafe Ngon Quận 7,10.7311857,106.7100687,"Sumatra Coffee & Cigar Lounge Phú Mỹ Hưng - Cafe Ngon Quận 7, 8-10 Lê Văn Thiêm, Hưng P, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,4.9,https://www.google.com/maps/place/?q=place_id:ChIJtZLv8kgvdTERMwPh4D4TwNs
TPT Coffee and Brunch,10.733733599999999,106.7087078,"TPT Coffee and Brunch, Đ. Số 2/47 Bùi Bằng Đoàn, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.4,https://www.google.com/maps/place/?q=place_id:ChIJLUVr2H0vdTERS25lHVnjlSQ
An Coffee,10.7441994,106.7017819,"An Coffee, 208 Nguyễn Hữu Thọ, P, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ9Y4UWwAvdTERy3VBi4ibVO8
Tiệm Cà Phê Tuệ,10.7467043,106.700386,"Tiệm Cà Phê Tuệ, Hẻm vào nhà hàng Maison, 793/57/3 Trần Xuân Soạn, KP4, KDC Kiều Đàm, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.5,https://www.google.com/maps/place/?q=place_id:ChIJz9yoFaovdTERiC82rzvfupU
