Name,Latitude,Longitude,Address,Categories,Rating,Google Maps URL
Phòng khám da liễu quận 7 uy tín - Pro Skin,10.737726199999999,106.7064573,"Phòng khám da liễu quận 7 uy tín - Pro Skin, 50 Đ. Số 65, Khu định cư Tân Quy Đông, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Phòng khám,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ8YhafmwvdTERqnb3sW8dXmQ
Aura Clinic Q7,10.7331836,106.70827369999999,"Aura Clinic Q7, 96 Bùi Bằng Đoàn, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Phòng khám, Dịch vụ thẩm mỹ, Spa",4.6,https://www.google.com/maps/place/?q=place_id:ChIJa9Yo9JAvdTERMuGdEEqPp5A
Phòng khám nhi KinderHealth - Quận 7,10.731874699999999,106.7088574,"Phòng khám nhi KinderHealth - Quận 7, 37 Cao Triều Phát, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Phòng khám nhi khoa, Trung tâm chăm sóc sức khỏe trẻ em, Bác sĩ da liễu nhi, Bác sĩ hô hấp nhi, Bác sĩ khoa nhi",4.8,https://www.google.com/maps/place/?q=place_id:ChIJAzI82ycldTERf8JkKfu5W-o
Phòng khám CarePlus Quận 7,10.727508799999999,106.7202614,"Phòng khám CarePlus Quận 7, Level 2, Crescent Plaza, 105 Ton Dat Tien, Tan Phu Ward, Vietnam, 105 Đ. Tôn Dật Tiên, Tân Mỹ, Hồ Chí Minh, Việt Nam",Phòng khám,4,https://www.google.com/maps/place/?q=place_id:ChIJ8biEzosvdTER8CPCV41JTf0
Phòng Khám Đa Khoa Quốc Tế Sài Gòn (SIG) - Quận 7,10.737843999999999,106.7033359,"Phòng Khám Đa Khoa Quốc Tế Sài Gòn (SIG) - Quận 7, 441 Lê Văn Lương, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Trung tâm y tế, Phòng khám nha khoa, Nha sĩ, Bác sĩ chuyên khoa tiêu hóa, Phòng thí nghiệm y học, Bác sĩ nhãn khoa, Phòng khám mắt, Bác sĩ chuyên khoa tai mũi họng, Phòng khám tai mũi họng, Hiệu thuốc",4.9,https://www.google.com/maps/place/?q=place_id:ChIJ0bN1uJMvdTERhQb89oHGaCM
Viện Thẩm Mỹ Hàn Quốc - CYL Quận 7 (CYL Clinic),10.7302533,106.70814089999999,"Viện Thẩm Mỹ Hàn Quốc - CYL Quận 7 (CYL Clinic), 42-44 Đ. số 6, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Phòng khám, Cửa hàng mỹ phẩm, Cửa hàng bán thuốc",5,https://www.google.com/maps/place/?q=place_id:ChIJe5_vdzUvdTERtuBdwc05XT0
Lotus Clinic Ob-Gyn-Phòng khám chuyên Sản Phụ Khoa Hoa Sen Quận 7,10.7391965,106.6982797,"Lotus Clinic Ob-Gyn-Phòng khám chuyên Sản Phụ Khoa Hoa Sen Quận 7, 36 Đ. Số 3, KDC Him Lam, Tân Hưng, Hồ Chí Minh, Việt Nam","Phòng khám bệnh lây truyền qua đường tình dục, Phòng khám phụ khoa",4.5,https://www.google.com/maps/place/?q=place_id:ChIJQS8F-9ovdTEROs_EYyx2BrI
Phòng khám Quốc tế Victoria Healthcare,10.7294591,106.7046965,"Phòng khám Quốc tế Victoria Healthcare, Sky Garden 1, 1056 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Phòng khám,4.7,https://www.google.com/maps/place/?q=place_id:ChIJTajIfMoodTERvZIHOjq3I-w
Phòng khám Đa khoa Tâm Anh Quận 7,10.7413401,106.7006105,"Phòng khám Đa khoa Tâm Anh Quận 7, 25 Nguyễn Hữu Thọ, Khu đô thị Sunrise City, Tân Hưng, Hồ Chí Minh 72910, Việt Nam",Phòng khám,4,https://www.google.com/maps/place/?q=place_id:ChIJx_e6E4gvdTERfG7q_upQpmo
Trạm Y tế phường Tân Phong,10.729365099999999,106.7102733,"Trạm Y tế phường Tân Phong, 01 Đặng Đại Độ, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Trung tâm y tế,2.8,https://www.google.com/maps/place/?q=place_id:ChIJb3608pEvdTERQ4f_dyQX0GE
